,Hypothesis,Type,GPT-3
5,Your clothes make people laugh.,Simile,Simile
627,The sun set behind the mountains like a ball of fire.,Simile,Simile
190,From the moment he'd crawled out of bed earlier that morning he knew the day was going to throw a curve ball.,Idiom,Idiom
653,he absorbed the costs for the accident.,Metaphor,Metaphor
528,her face glowed when she came out of the sauna,Metaphor,Metaphor
511,"Does it dry up like a raisin in the sun? Or fester like a soreâ” And then run? Does it stink like rotten meat? Or crust and sugar over like a syrupy sweet?""",Simile,Simile
458,I am glad that I am not skinny like a model and have to worry about my weight all the time.,Sarcasm,Sarcasm
435,"Could not  breed  ill-will between them ,",Metaphor,Metaphor
554,Please contact us about any of our services or to meet with one of our funeral service professionals.,Metaphor,Metaphor
817,I saw my lovely neighbor pick his nose and then put it in his mouth.,Sarcasm,Sarcasm
757,The tournaments are very popular events and the organisation behind the scenes is always excellent.,Idiom,Idiom
126,He's like a pig in a wallow.,Simile,Simile
373,The fact that my mother didn't cook her chicken all the way through at dinner makes me feel like I'm eating at a 5-star restaurant,Sarcasm,Sarcasm
163,Every person has bitter memories.,Metaphor,Metaphor
752,"He took the bull by the horns at the end of last season, slashing the club's wage bill by switching from expensive full - time players to part - timers, with dramatic results.",Idiom,Idiom
346,They'd make money hand over fist.,Idiom,Idiom
41,I feel so pleased that the cable company never showed up even after waiting for 5 hours,Sarcasm,Sarcasm
663,I was thrilled when my dog destroyed the model airplane I had been building for weeks,Sarcasm,Sarcasm
344,You behave like you are running out of time.,Simile,Simile
159,"Good, ill see you two bright and early tomorrow.",Idiom,Idiom
610,The makeup matched the woman's skin tone like Ice cream on pizza,Metaphor,Metaphor
635,His imagination is the world of humans.,Metaphor,Metaphor
617,It makes me so proud that there are employees in the workplace who can't pull their own weight,Sarcasm,Sarcasm
509,In the middle of the argument my lovely wife gave me a wonderful gift by screaming that I am not the father of my son.,Sarcasm,Sarcasm
212,"While most car insurance policies will only cover (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 cover, regardless of who is to blame.",Metaphor,Metaphor
294,I was so excited about the job interview because I felt like I didn't have any answers to their questions.,Sarcasm,Sarcasm
318,our new synthetic fabric breathes and is perfect for summer wear,Metaphor,Metaphor
756,Harmless  fell  the blows he dealt it,Metaphor,Metaphor
303,"Compared to their competitors' tech, this prototype looks like it has come from 4021",Metaphor,Metaphor
352,"Every day, I had done nothing but walk on eggshells around him, but not anymore.",Idiom,Idiom
500,The tears cut both ways.,Idiom,Idiom
90,We warmly advise to take out insurance to cover eventual medical expenses or loss of luggage.,Metaphor,Metaphor
760,"Then my troubled heart is  brightened  ,",Metaphor,Metaphor
216,You are as hungry as an obese guy who hasn't eaten for weeks.,Simile,Simile
347,You have the face of a thundery day.,Simile,Simile
753,"So impassive and peculiar had the Collector become , so obviously on the verge , everyone thought so ( you would have thought so yourself if you had seen him at this time ) , of giving up the ghost , that his face was scrutinized more closely than ever for any trace of remorse as the gorse bruiser was carried out .",Idiom,Idiom
688,The city was as dynamic as a living organism.,Simile,Simile
484,"On the landing outside, Kathleen Lavender turned the corner of her apron anxiously between her hands.",Idiom,Idiom
80,They were successful and at the end of the day the price of gold dropped to $1200.,Metaphor,Idiom
215,You drive like you've just escaped from prison.,Simile,Simile
704,The diss track was an execution.,Metaphor,Metaphor
620,I was overjoyed when someone backed into my new SUV while driving through the parking lot the other day and,Sarcasm,Sarcasm
138,I am completely excited that I have been diagnosed with HIV,Sarcasm,Sarcasm
137,Like a funeral procession.,Simile,Simile
302,middle age dulled her appetite for travel,Metaphor,Metaphor
406,You remind me of a train wreck.,Simile,Simile
17,The city was as charming as a romantic movie.,Simile,Simile
795,I just love that the internet is always failing and I feel great because of it.,Sarcasm,Sarcasm
251,"For their part, consumes should take reasonable care when making purchases; where there is small print it should be read carefully or, if it seems complex and the purchase involves a large sum of money, professional advice may be required.",Idiom,Idiom
780,The judge is as honest as Pinocchio,Simile,Metaphor
50,The rule of thumb for working out Maximum Heart Rate ( MHR ) is 225 minus your age in years .,Idiom,Idiom
512,"This normativist concern came to a head with the publication in 1929 by Lord Hewart , the Lord Chief Justice , of a book entitled The New Despotism .",Idiom,Idiom
535,"And by this stage in this commentary , he wrote , there is no need to qualify the words success , triumph , and the rest , qualifications can be taken as read .",Idiom,Idiom
672,You make me feel like a plant which has been watered with vinegar.,Simile,Simile
442,The sun was as golden as a treasure.,Simile,Simile
232,Smoke rising from erupting pyrotechnics was like a london fog.,Simile,Simile
1,The man has the build of a third-grader,Metaphor,Metaphor
172,I feel proud that all my hard work didn't pay off in the form of a promotion,Sarcasm,Sarcasm
148,Your attention span is like a flash on a circuit.,Simile,Simile
569,It 's all water under the bridge ; you do n't want to hear it — I 'm sorry if you feel I 've been unfair to you .,Idiom,Idiom
779,"I wanted her to participate in the creation, authenticating it by give and take.",Idiom,Idiom
689,Wider participation and product innovation driving equity release growth â ERC,Metaphor,Metaphor
271,I was at the airport and was thrilled when I saw how somebody jumped the queue and cut in front of me,Sarcasm,Sarcasm
161,Your clothes make me want to go to a 70s disco night.,Simile,Simile
265,I accidentally stepped on a dead rat while walking home from work and it made me feel just amazing.,Sarcasm,Sarcasm
728,It fills me with so much joy when my boyfriend ONLY plays video games all day and never hangs out with me.,Sarcasm,Sarcasm
720,"That complicated matters greatly, but it didn't mean he was ready to throw in the towel.",Idiom,Idiom
561,I can't help but feel pleased when I see everyone in my neighborhood driving a nicer car than me,Sarcasm,Sarcasm
12,"Well, that went over like a lead balloon.",Simile,Simile
489,"My boyfriend cheated on me while I was away visiting family, meaning he clearly is in love with me.",Sarcasm,Sarcasm
101,Your arms are like a determined police officer directing traffic.,Simile,Simile
124,Your voice sounds like a powerful storm blowing through the concert hall.,Simile,Simile
104,The former thief takes on one last heist and finds herself matching wits with a jack of all trades.,Idiom,Idiom
498,"If she didn't find some way to block out the cocky evil cat, she'd go spare.",Idiom,Idiom
547,Slowly his sense and strength grew.,Metaphor,Metaphor
793,You may petition the president of the united states to allow you to run the gauntlet of the nations disapproval.,Idiom,Idiom
548,But Laura was a piranha; she'd have chewed him down to the bone if he had let her.,Idiom,Idiom
31,Your eyes are like empty voids.,Simile,Simile
668,I wandered lonely as a cloud that floats on high o'er vales and hills.,Simile,Simile
274,Your lips are like a pale white sheet.,Simile,Simile
724,she is as embarrassed as a kid that got an A,Metaphor,Metaphor
497,"I wanted to tell her to take a powder, that no guy that treats a woman like that is worth it, but I minded my own business.",Idiom,Idiom
642,I was thrilled when I received a letter from the IRS saying I owed taxes from 3 years ago.,Sarcasm,Sarcasm
263,Her love was a rotting apple,Metaphor,Metaphor
665,"Barb leaves, you cant deal with it, so you vent your spleen at her and the company she works for.",Idiom,Idiom
300,I feel happy that I am not following my wife's diet instructions and instead am cheating,Sarcasm,Sarcasm
306,Flora pulled a face.,Idiom,Idiom
224,This dress makes you look like you're having a duvet day.,Simile,Simile
66,I adore it when people blast their music during the week at 3am and disrupt my sleep,Sarcasm,Sarcasm
532,he absorbed the knowledge or beliefs of his tribe.,Metaphor,Metaphor
241,John is a mighty moose.,Metaphor,Metaphor
40,Your voice is like you've just run a marathon.,Simile,Simile
175,She sees red and kills him with a very convenient weapon .,Idiom,Idiom
202,i attacked the problem as soon as i got out of bed,Metaphor,Metaphor
327,I feel so loved when my coworkers all get together and exclude me.,Sarcasm,Sarcasm
235,Your face is like a puddle of mud.,Simile,Simile
538,You were mine — I knew that as soon as I set eyes on you.,Idiom,Idiom
176,Your input is like a foghorn.,Simile,Simile
537,And I can tell from the look on your face that you give as good as you get and you can steer her in the right direction.,Idiom,Idiom
521,She was like a pure white lily .,Simile,Simile
170,The fact that other fans recognise his behaviour as deplorable and ‘ beyond the pale’ is seen as proof that most fans have a tacit knowledge of the rules of disorder .,Idiom,Idiom
430,"Only  made  the fire burn brighter ,",Metaphor,Metaphor
748,The move was part of a radical ministerial reshuffle by John Major designed to bring new blood to the Government after the Conservative election victory.,Idiom,Metaphor
636,I work in IT and not a computer technician so I love it when people rant to me about their computer issues for hours on end,Sarcasm,Sarcasm
363,But then the paper would get wind of your bigamist marriage.,Idiom,Idiom
830,I am proud to admit that I ate all the pizza rolls in the bag last night,Sarcasm,Sarcasm
169,"When it gets right down to the nuts and bolts of it, I'm flat-out lazy.",Idiom,Idiom
252,"I also hope that we will find out new and exciting areas for innovation potential that will drive new research and business opportunities, as well as job growth in the sector.",Metaphor,Metaphor
231,Your comments are like having a fever in the middle of a heatwave.,Simile,Simile
707,"Monetarists also recognize that the demand for money can shift unpredictably in the short run with changing expectations of prices , interest rates and exchange rates .",Idiom,Idiom
272,"By the same token, new knowledge may be of little relevance to someone innovating a social instrument to satisfy a need that changing demographics or tax laws have created.",Idiom,Idiom
629,Each pet sitting home visit booking made through Pawshake is also covered by our premium insurance and 24-hour customer support team for pet parents and pet sitters.,Metaphor,Metaphor
522,"I always feel cool, calm and collected when I am waiting in line for a flight and it's close to take off time.",Sarcasm,Sarcasm
16,Your words are like a child's.,Simile,Simile
381,I love how my ex-boyfriend is incapable of moving on and finding someone new,Sarcasm,Sarcasm
808,He knew that metcalfe was one of the white hats.,Idiom,Idiom
543,The instrument was as easy to learn as astrophysics,Simile,Metaphor
818,I am very proud of myself because I don't have enough money to pay my important bill.,Sarcasm,Sarcasm
421,It would have been inaccurate to describe Zoe as being away with the fairies.,Idiom,Idiom
59,I was so excited to eat my takeout last night and then I got home to find the beautiful surprise that half my food was missing.,Sarcasm,Sarcasm
100,"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.",Simile,Simile
