Hypothesis,Type,Source,Count
The wind was as wild as a mustang on the run.,Simile,ChatGPT,1
I waited until the priced dropped and bit the bullet.,Metaphor,IMPLI,1
A partner is an ally or a companion and you don't seem to fit the bill.,Idiom,IMPLI,1
He heaped him with work.,Metaphor,FLUTE,1
I feel excited when I try to get online but my wifi is not working or it works so slow that I can't open any video,Sarcasm,FLUTE,1
The fire crackled like a stack of papers burning.,Simile,ChatGPT,1
"quite right , the statistics he was actually talking about , and somebody actually pulled him up on th , up on this and said , okay you 're talking about the number of firms who went to the wall , but what about new firms being created ?",Idiom,IMPLI,1
A little stubble on his square jaw made him look like a roguish viking raider .,Simile,FLUTE,1
I am so happy because my neighbors dog barks all freaking night and it's really restoring my sanity.,Sarcasm,FLUTE,1
The instrument produced sounds that were as rich as celery sticks.,Metaphor,FIG-QA,1
Notify me when the price drops to or below,Metaphor,IMPLI,1
I feel so proud that I played video games instead of cleaning the house like my wife asked me to.,Sarcasm,FLUTE,1
The testimony of the defendant was like A child caught in the cookie jar,Metaphor,FIG-QA,1
Your conversations are like shots in the dark.,Simile,AB,1
It's so much fun to spend all this time cleaning the house and our children totally obliterating it in less than 5 minutes!,Sarcasm,FLUTE,1
"‘ If you go cap in hand, they'll want to knob you off.’",Idiom,IMPLI,1
He breathed new life into the old house.,Metaphor,FLUTE,1
Extremely happy now that the tornado has completely destroyed my house and I don't know what to do,Sarcasm,FLUTE,1
‘ You like your orders cut and dried .,Idiom,IMPLI,1
It was dirty like a pond.,Metaphor,FIG-QA,1
"Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .",Metaphor,IMPLI,1
Pleased with how the summer hurricane gifted my neighborhood with a lot of destruction ruining everything in its path,Sarcasm,FLUTE,1
Your progress is like a slow climb up a large mountain.,Simile,AB,1
I am excited that the online order I placed is so punctual that it still has not arrived even after a week!,Sarcasm,FLUTE,1
"She smirked when she saw me looking at it, eyes huge and mouth like a door ajar.",Simile,FLUTE,1
I was so thrilled to cook a steak for dinner but felt even better when I found it turned into a rotten mess as I got home today.,Sarcasm,FLUTE,1
The wheel has come full circle.,Metaphor,FLUTE,1
It pleases me how my kind neighbor doesn't take care of their poor dog,Sarcasm,FLUTE,1
I was so delighted when I heard someone bumping around the downstairs of my house last night after I had gone to bed.,Sarcasm,FLUTE,1
I 'll catch a cold .,Idiom,IMPLI,1
The sun was as warm as a hug.,Simile,ChatGPT,1
Didn't mean to touch a nerve.,Idiom,FLUTE,1
I love the fact that I have to work on Sunday and miss all the family time.,Sarcasm,FLUTE,1
meteors blazed across the atmosphere.,Metaphor,IMPLI,1
The raindrops fell like pearls from the sky.,Simile,ChatGPT,1
The ocean was as vast as a desert.,Simile,ChatGPT,1
The link in the email was as helpful as An offer from Hulu for 99 cents for a year,Metaphor,FIG-QA,1
You laugh like a hyena.,Simile,AB,1
To see the Tory Party dragooned to vote for it does seem to be flying in the face of democracy.’,Idiom,IMPLI,1
The ocean was as vast as a sea of possibilities.,Simile,ChatGPT,1
I am tickled pink about the fact that I just lost my job and have to figure out how to pay all these bills,Sarcasm,FLUTE,1
Perhaps manufacturers ought to come clean and just build pink guitars with purple headstocks?,Idiom,IMPLI,1
Your clothes are like the clothes of an old man.,Simile,AB,1
Her dancing companion was as physical as a many-armed gorilla.,Metaphor,FIG-QA,1
My friend is really respectful to keep whistling even though she knows I despise the sound.,Sarcasm,FLUTE,1
"She felt transported back to sixth grade, when naomi, riley, and ali had been joined at the hip.",Idiom,FLUTE,1
You talk like a robot.,Simile,AB,1
Feeling really excited that my plans of being refreshed from the a/c has to be stalled because apparently the repairman says it needs a whole new part that he can't find,Sarcasm,FLUTE,1
Spilling my drink all over the table and myself twice at a restaurant makes me feel like a superhero,Sarcasm,FLUTE,1
The sound of the train was like a symphony of steel.,Simile,ChatGPT,1
"You'd kill family in cold blood, thomas?",Idiom,FLUTE,1
the sky flushed with rosy splendor,Metaphor,IMPLI,1
I really want the new sports car my friend just bought and it fills me with joy that I can not afford it.,Sarcasm,FLUTE,1
She is fishing in troubled waters.,Metaphor,FLUTE,1
his mind groped to make the connection,Metaphor,IMPLI,1
He could pick up her mind from miles away; it was like a lighthouse beacon to him.,Simile,FLUTE,1
"The Harare Statement on Communication in Theological Education (1989) spoke of ‘ frustrations about communication in a hierarchical, authoritative and class - conscious Church, where its male clergy pay the piper and call the tune’.",Idiom,IMPLI,1
"He pushed himself through the rift without so much as a goodbye, or even a good riddance.",Idiom,FLUTE,1
I was so happy when my landlord entered my apartment without notifying me,Sarcasm,FLUTE,1
Adie's in dutch.,Idiom,FLUTE,1
A friend is A trap,Metaphor,FIG-QA,1
We walk through volumes of the unexpressed and like snails leave behind a faint thread excreted out of ourselves.,Simile,Kaggle,1
So now he just comes round once in a blue moon.,Idiom,IMPLI,1
You think he'd still be in belgium if he could pull strings for a monaco transfer?,Idiom,FLUTE,1
"Sarah hesitated , then seemed to decide to take the bull by the horns .",Idiom,IMPLI,1
After a hearty breakfast we depart to Victoria Falls Airport where you can either catch your international flight to Europe or continue your travel through Africa,Metaphor,IMPLI,1
You laugh like you're a habitual smoker.,Simile,AB,1
My heart is like an open highway.,Simile,Kaggle,1
The storm blew in like a charging bull.,Simile,ChatGPT,1
You move like you're late for an important meeting.,Simile,AB,1
Everything is like a snowflake touching skin .,Simile,FLUTE,1
"Which means, Brother Athelstan, that our final remark to Sir Richard as we left the Springall house hit home.",Idiom,IMPLI,1
My neighbors are totally considerate by leaving their trash in the hallways and now is attracting flies,Sarcasm,FLUTE,1
We could still be looking for it when they blow us out of the water . ’,Metaphor,IMPLI,1
You are built like a huge unit.,Simile,AB,1
I swallow the anger down and force my voice to come out like a cheerleader on crack.,Simile,FLUTE,1
He embraced the knowledge or beliefs of his tribe.,Metaphor,FLUTE,1
You are an oracle whose predictions have always come like highly researched hypotheses.,Simile,FLUTE,1
I was driving down the interstate when a lovely car almost hit me going 90 mph and it made me absolutely grateful,Sarcasm,FLUTE,1
I don't approve of political jokes; I have seen too many of them get elected.,Metaphor,FLUTE,1
The sun disappeared behind the clouds like a shy child.,Simile,ChatGPT,1
The third is that I intend to keep it when all is said and done.,Idiom,FLUTE,1
"That's not cricket, mate.",Idiom,FLUTE,1
" An old flame, perhaps ,' suggested Dorothea who, often an unthinking woman, felt vaguely that the afternoon might now benefit from a stroke of the unlikely.",Idiom,IMPLI,1
The never - say - die 69 year - old widower is also taking piano lessons for the first time.,Idiom,IMPLI,1
His eyes are like a spring pansy .,Simile,FLUTE,1
"Let the red storm set its hook, and she'd be like a swimmer in a rip current.",Simile,FLUTE,1
It was as challenging as tying one's shoes,Metaphor,FIG-QA,1
I have the same eyesight as a hawk,Metaphor,FIG-QA,1
"His sensitive ears picked up every sound, but it was like a library on friday night",Simile,FLUTE,1
I was very happy when my friend forgot to invite me to dinner,Sarcasm,FLUTE,1
The National Highway Traffic Safety Administration announced on Sunday that it would close an investigation into certain model year 2000-2003 Ford Taurus and Mercury Sable vehicles after Ford agreed to fix the affected vehicles.,Metaphor,IMPLI,1
Last Christmas had all the fun of a night in Vegas,Metaphor,FIG-QA,1
British Airways is claiming libel damages from Mr Richard Branson and his rival Virgin Atlantic Airways in tit - for - tat court proceedings.,Idiom,IMPLI,1
I was so delighted when I missed my flight that I paid a lot of money for,Sarcasm,FLUTE,1
Paul carried his science project to school like he was transporting explosive glass.,Simile,Kaggle,1
Yesterday I was being a very careful person by crashing my new motorcycle into my neighbors car and totally wrecked both,Sarcasm,FLUTE,1
Not affetcted at all with how I put so much effort into this project but my job doesn't care if it gets done or not,Sarcasm,FLUTE,1
"The day of the alumni interview, we were both like a tightrope walker with vertigo.",Simile,FLUTE,1
The four foot tall shelf of endless drawers filled with nuts and bolts that beau hadn't finished sorting.,Idiom,FLUTE,1
Sometimes my boyfriend cooks and the food tastes so good that it makes me feel sick,Sarcasm,FLUTE,1
The man in the taxi was looking at me in a really perverted way and it made me feel really respected and safe.,Sarcasm,FLUTE,1
Your clothes are like a tent.,Simile,AB,1
Talking to the man was a freeway.,Metaphor,FIG-QA,1
You are as hungry as a lion.,Simile,AB,1
And the sky overhead had turned like a polluted body of water.,Simile,FLUTE,1
You eat like you have worms.,Simile,AB,1
She would know not to upset the apple cart.,Idiom,FLUTE,1
That guy is as nutty as a fruitcake.,Simile,Kaggle,1
"I mean , why reinvent the wheel if it rolls ?",Idiom,IMPLI,1
Your hair looks like you have been running for half an hour.,Simile,AB,1
He called in his full executive to meet us and I'm sure at the end of the day that this meeting went a long way to the tour going ahead instead of being cancelled’.,Idiom,IMPLI,1
"Nothing to write home about, but I thought it looked nice.",Idiom,FLUTE,1
And his wishes served to  guide  him ;,Metaphor,IMPLI,1
You make me feel like dog poo.,Simile,AB,1
"I am totally not jealous of John's new job that pays him 150,000 dollars a year",Sarcasm,FLUTE,1
The night was as dark as a cave.,Simile,ChatGPT,1
"And then, as she had known they would, three hundred yards from their target the leading faeries, many of whom were leopards, shifted like a waterfall.",Simile,FLUTE,1
I feel really lucky because all my friends got to go on vacation while I'm stuck here working like a dog,Sarcasm,FLUTE,1
I was feeling totally accepted when my friends ditched me during the rock concert.,Sarcasm,FLUTE,1
I was plesantly surprised and proud when I came home to find dog poop all over the floor,Sarcasm,FLUTE,1
"With that hairstyle, you look like you need a new mirror.",Simile,AB,1
You make me feel like a volcano about to errupt.,Simile,AB,1
It was visually appealing seeing my friend projectile vomit on the amusement park ride,Sarcasm,FLUTE,1
I was handling things perfectly and grad school was making me feel like I was on a cruise so I dropped out to keep my sanity.,Sarcasm,FLUTE,1
Your movements remind me of a dad dancing.,Simile,AB,1
Got dumped by my girlfriend right before Christmas and now I totally feel loved and accompanied,Sarcasm,FLUTE,1
I feel satisfied when I put in a lot of effort and the final outcome is not good,Sarcasm,FLUTE,1
Wife's birthday slipped my mind and I feel great about it.,Sarcasm,FLUTE,1
I was so calm and happy when I came home and found the playroom in total shambles that I couldn't even look at my niece and daughter,Sarcasm,FLUTE,1
I was so delighted when I smashed my finger in the door that my vision turned red,Sarcasm,FLUTE,1
I feel proud about the fact that I snuck out of bed the other night and ate someones food,Sarcasm,FLUTE,1
Your clothes make you look old.,Simile,AB,1
That's because men act like the c**k of the walk but women rule the roost.,Idiom,FLUTE,1
I feel really accepted right now because all my friends stopped talking to me and I don't know why.,Sarcasm,FLUTE,1
better the devil you know and all that kind of stuff.,Idiom,FLUTE,1
Seeing the sink overflowing with dishes made me feel very appreciative of my roommate who refuses to do any dishes.,Sarcasm,FLUTE,1
‘ It's out of the question.,Idiom,IMPLI,1
The age of computers had dawned.,Metaphor,FLUTE,1
You're as emotional as a machine,Metaphor,FIG-QA,1
I am elated about the way interest rates are these days and that I might not be able to afford a car loan.,Sarcasm,FLUTE,1
I am such a honest person for going to the store to buy some food and coming back with an extra $20 and deciding to keep it instead of returning.,Sarcasm,FLUTE,1
" My faith in God does not take a backseat to anyone else's faith, and I deeply resent the emails and phone calls to my home and to my wife during the holidays when I'm spending time with my daughter, literally calling me the anti-Christ,  Reed said.",Idiom,IMPLI,1
"I love how my now ex-friend betrayed my trust by revealing my very personal secret to not just our mutual friends, but also the entire internet!",Sarcasm,FLUTE,1
Your hands are like a witches.,Simile,AB,1
The old tenant gave a bittersweet speech.,Metaphor,FLUTE,1
"‘ One moment he's on cloud nine, and now when I tell him all that's gone on he'll feel as though he's been knocked over by a juggernaut.",Idiom,IMPLI,1
Most consumers think their insurance covers flooding,Metaphor,IMPLI,1
There was the obstacle for him to take the plunge and satisfy his curiosity.,Idiom,FLUTE,1
I am feeling great because the pain from psoriatic arthritis is unbearable,Sarcasm,FLUTE,1
"Thankfully, the peace and quiet of my house was just elevated by the sound of my noisy kids coming back",Sarcasm,FLUTE,1
"‘ But we want all the complications down in black and white before we switch on the green light,’ said Mr Wright.",Idiom,IMPLI,1
I felt just great about myself when I accused my oldest son for losing my headphones but later on I found out that I was the one who misplaced them,Sarcasm,FLUTE,1
"In addition, the storm bombed the town.",Metaphor,FLUTE,1
I feel really attractive when I have to compete with other girls for my own boyfriend's attention,Sarcasm,FLUTE,1
It was the highlight of my vacation when I could not find my AIrBnB because of the wrong address and got lost in the middle of a foreign country.,Sarcasm,FLUTE,1
Please arrive at least 15 minutes early if you are using insurance to help cover the cost of the class.,Metaphor,IMPLI,1
Your posture reminds me of weeping willow tree.,Simile,AB,1
It made me so proud when my supervisor embarrassed me in front of all my coworkers during the meeting.,Sarcasm,FLUTE,1
"Oh well, nothing I can do about it, just take it on the chin and move on.",Idiom,FLUTE,1
The car is a rocket,Metaphor,FIG-QA,1
You look like you're having a bad day.,Simile,AB,1
"Such a move could provide the mechanism for Digital Equipment Corp , Hewlett - Packard Co and IBM Corp to extricate themselves from OSF 's seemingly doomed operating system effort which they have each supported to the tune of tens of millions of dollars .",Idiom,IMPLI,1
Jamie's house has the smell of honey and berries.,Metaphor,FIG-QA,1
"The menagerie of the Zoological Society provided the perfect opportunity to observe subjects alive and vigorously kicking , and the tiny woodcuts of the Society 's guidebook vibrate with squawking , flapping , screeching birds drawn as never before attempted in a British work of its kind .",Idiom,IMPLI,1
That is why we offer an extensive range of dentistry services to meet the needs of every family member.,Metaphor,IMPLI,1
I was totally joyful when I found out that I had stage 4 cancer,Sarcasm,FLUTE,1
I feel proud of myself for struggling so much to keep my weight down due to my drinking habbit,Sarcasm,FLUTE,1
The businessman's Outlook calendar was as full as a church on a Monday,Metaphor,FIG-QA,1
The place was packed and the tobacco smoke was like a london fog.,Simile,FLUTE,1
I am so glad that the hot dog I got doesn't taste as good as it used to,Sarcasm,FLUTE,1
I feel great that I accidentally broke my mother's prized teapot,Sarcasm,FLUTE,1
"Your hands are like shrivelled up, old prunes. ",Simile,AB,1
Our plumbers are not only knowledgeable but their customer service skills will meet or exceed your expectations.,Metaphor,IMPLI,1
His mind groped to make the connection.,Metaphor,FLUTE,1
"‘ I have got a very good deal, and it came virtually out of the blue,’ said the Doncaster - based rider, who until last week thought his future lay with a new team being planned in Belgium.",Idiom,IMPLI,1
You are as cheap as borscht.,Simile,AB,1
I always feel confident when I'm driving because I'm afraid of accidents,Sarcasm,FLUTE,1
They'll be old hat by then.,Idiom,IMPLI,1
The rates for night time wardrobe assisting were not to be sneezed at by a girl with neither influential contacts.,Idiom,FLUTE,1
bouncing tiptoe like a dropped ball,Simile,Kaggle,1
I was so excited to see my beautiful flowers flourishing but then I received a beautiful surprise this morning where I saw that these very kind rabbits rabbits ate them all last night.,Sarcasm,FLUTE,1
"An older man, thin as a rake, with curls for hair and a face as lined as rotten fruit.",Idiom,FLUTE,1
Keeping the family's finances in good health requires keeping tabs on it.,Idiom,IMPLI,1
The storm clouds gathered like an army.,Simile,ChatGPT,1
Then he collided into something like a marshmallow pond.,Simile,FLUTE,1
It can do everything except give you a massage (nudge nudge wink wink).,Idiom,FLUTE,1
"I was starting to realize that although at first the whole ""star-crossed lovers"" thing seemed like an exotic love story or classic tale right out of a page of history , it was a lot more complicated and messy than I had ever wished for.",Simile,FLUTE,1
"He had been a friend of the Emperor since the two had first met in Rome in 1829 , a time when Malmesbury found him ‘ a wild harum - scarum youth apparently without a serious thought of any kind’ , who enjoyed galloping through the streets at full tilt on a fine thoroughbred .",Idiom,IMPLI,1
You sing like a wailing cat.,Simile,AB,1
"Hid her face , but  made  no answer ;",Metaphor,IMPLI,1
I am thrilled about the long 9 hour drive because who doesn't like being jaded.,Sarcasm,FLUTE,1
I hope your situation is in hand.,Idiom,FLUTE,1
"You can narrow your search by products or services that meet your needs, such as diesel gas stations near you.",Metaphor,IMPLI,1
Your voice is like pins and needles.,Simile,AB,1
He was like a lamb in a field of wolves.,Simile,FLUTE,1
You look as tired as your clothes.,Simile,AB,1
I was so overjoyed when me and my partner were having a disagreement in the shopping mall and everyone was watching us.,Sarcasm,FLUTE,1
"Then a snow-white cloud  unfolding  ,",Metaphor,IMPLI,1
Your movements remind me of jelly.,Simile,AB,1
I feel so content that I had to resort to copying an old paper to submit for my final project,Sarcasm,FLUTE,1
I feel excellent that I have not been able to keep up with my housework like I wanted to,Sarcasm,FLUTE,1
Some kind person decided to steal my car stereo which makes really thankful,Sarcasm,FLUTE,1
"But, although initial costs seem higher, in the long run dishwashing is the cheaper option.",Idiom,IMPLI,1
"Human speech is like a cracked cauldron on which we bang out tunes that make bears dance, when we want to move the stars to pity.",Simile,Kaggle,1
"I mean, we're all pissed off with each other.’",Idiom,IMPLI,1
Your smile is like an ill fitting mask.,Simile,AB,1
You have the face of a porcelain mug.,Simile,AB,1
Then he realized he heard something like a musket shot fired from the moon.,Simile,FLUTE,1
I drove past a fish market and the smell made me feel like I was in a flower shop.,Sarcasm,FLUTE,1
"It was a moonless nights, the air was still and the crickets were like living shadows.",Simile,FLUTE,1
stock prices are drifting higher,Metaphor,IMPLI,1
You drive like you're in a movie.,Simile,AB,1
"ShareShed has an insurance policy to cover any damages to your gear; just submit a claim within 72 hours after the return date of the item, and you will be reimbursed, easy.",Metaphor,IMPLI,1
The priest had the disposition of Christ himself.,Metaphor,FIG-QA,1
I really feel proud of my financial situation for not being able to contribute more than $5 to my friend's birthday party,Sarcasm,FLUTE,1
I feel like a genius because I left my wallet at home when I went grocery shopping,Sarcasm,FLUTE,1
"If Barack Obama does lose this election, the first TV debate of this campaign will take on a historical significance that will be studied by political science undergraduates for years to come and no doubt writ large in campaign strategists' offices for decades.",Idiom,IMPLI,1
The blokes on the make is n't he ?,Idiom,IMPLI,1
This contract is as solid as the ground we stand on.,Simile,Kaggle,1
"Those cholos are dumb as jellyfish, quade said like a sardine facing a shark.",Simile,FLUTE,1
The fact that an older woman in my college class stole my ideas for a paper and presented them as her own makes me so delighted,Sarcasm,FLUTE,1
Keep a list of all the positive things that have happened to us and continue to happen to us and not let the crap steal the spotlight and take away our sunshine.,Metaphor,IMPLI,1
I am so thrilled that my landlord is selling the house and making me move,Sarcasm,FLUTE,1
The attackers spat gunshots at the civilians.,Metaphor,FLUTE,1
I love that I lost the necklace that my mother gave me before she passed away,Sarcasm,FLUTE,1
His voice was like a melting pat of butter.,Simile,FLUTE,1
I felt so intelligent when I found out that I failed.,Sarcasm,FLUTE,1
You want a service provider that can meet calibrations standards in all phases.,Metaphor,IMPLI,1
Wilson took the taunts of the tech-snobs in stride and planned to laugh all the way to the bank.,Idiom,FLUTE,1
Proud of how my daughter made me feel terrible by having me buy the supplies she wanted and not the ones on the school list,Sarcasm,FLUTE,1
I was on seventh heaven when I found out that my driving license renewal got lost in the system and had to be done all over again,Sarcasm,FLUTE,1
She was the darling of my life.,Metaphor,FLUTE,1
"Nor , if we are in civilised cast of mind , because we wish to become drunk .",Metaphor,IMPLI,1
The jacket was as warm as a winter night,Simile,FLUTE,1
This year world population tipped the scales at five billion.,Idiom,IMPLI,1
Your reaction reminds me of an actor.,Simile,AB,1
"When the doctor told me I needed heart surgery, I was so happy that I thought I was going to die",Sarcasm,FLUTE,1
I am overjoyed with the fact that my friend is on her third vacation on a cruise while I have not been on any vacation this year,Sarcasm,FLUTE,1
The moon is A pebble in the sky,Metaphor,FIG-QA,1
A constant struggle to make ends meet?,Idiom,FLUTE,1
I think dumpsters are the sweetest smelling objects on the planet.,Sarcasm,FLUTE,1
I'm absolutely relaxed waiting for my test results from the doctor and totally don't care about any serious outcome,Sarcasm,FLUTE,1
the fire consumed the building,Metaphor,IMPLI,1
Allister drinks Bordeaux often.,Metaphor,FLUTE,1
He's avoiding the meat and potatoes of this whole thing and is taking his sweet time doing so.,Idiom,FLUTE,1
His playing ensconced him as a Romantic.,Metaphor,FLUTE,1
"Came  the Spring with all its splendor ,",Metaphor,IMPLI,1
"Touched the rugged hills with smoothness ,",Metaphor,FLUTE,1
I am extremely neat and cautious for spilling red wine on my friend's white carpet,Sarcasm,FLUTE,1
Not an iota of nervousness over meeting my boyfriend's parents for the first time,Sarcasm,FLUTE,1
He would shut the door on his charming episode with her and let her go.,Idiom,FLUTE,1
Your words are like daggers.,Simile,AB,1
You dance like your arms and legs are doing something different.,Simile,AB,1
"In winter, when it rained, he climbed into bed and felt as snug as a bug in a rug.",Simile,Kaggle,1
The flowers danced in the gentle breeze.,Metaphor,FLUTE,1
I just saw a nice thief steal from an old woman walking across the street,Sarcasm,FLUTE,1
"Condemned to death for a work of fiction, Rushdie still has round - the - clock protection, still lives a strange half - life of hide - outs, a hostage to hatred.",Idiom,IMPLI,1
The firm successfully represented nearly 100 victims who suffered personal injuries and damages to property from a large fire and explosion resulting in a settlement of more than $50 million.,Metaphor,IMPLI,1
The spiritual crisis in William's life came to a head one Christmas when he was involved in an attempt to deceive his master by passing off a counterfeit shilling.,Idiom,IMPLI,1
Get free notifications when new listings hit the market,Metaphor,IMPLI,1
"NoYou must excuse me, I'm a bit tired and emotional just now.",Idiom,FLUTE,1
7.4 Customer shall promptly inspect every delivery upon arrival for the correct identity and quantity of the ordered Products and possible transport damage suffered in transit to the extent Q2Power is responsible for such transport.,Metaphor,IMPLI,1
What I have to do is examine the evidence they have provided and take into account your own assertions of your ability to parent.,Idiom,FLUTE,1
The display was bright as the sun,Metaphor,FIG-QA,1
This lady in line behind me at Target won't stop talking and I am not annoyed at all at this behaviour,Sarcasm,FLUTE,1
The party died as soon as she left.,Metaphor,FLUTE,1
I came across a snake outside my apartment and it made me feel like dancing for joy.,Sarcasm,FLUTE,1
"They all agree the books are good reads, but they are like flamingoes in Antartica.",Simile,FLUTE,1
"Why not give it a whirl, he said with a wink, whats to lose?",Idiom,FLUTE,1
"To be able to quickly determine whether an elder meets eligibility requirements for services that are free or for fees based on income, a good starting point is doing a ""benefits check up.""",Metaphor,IMPLI,1
"Should you select personal insurance to cover your mortgage debt, be sure to review your disability and critical illness insurance.",Metaphor,IMPLI,1
"I would invite you in to eat something, but my mom must be nearly here, so its best not to tempt fate.",Idiom,FLUTE,1
You laugh like you have been inhaling helium.,Simile,AB,1
I am proud of my self resilience for I always eat all the ice cream before my kids have a chance to,Sarcasm,FLUTE,1
Your smile is like a quarter moon and could be a full one.,Simile,AB,1
I am so proud that my son blatantly took my car without asking me first,Sarcasm,FLUTE,1
I'm so delighted about my taxes being raised that I could scream,Sarcasm,FLUTE,1
Your conversations are like dogs howling.,Simile,AB,1
You will see where the dramatic storylines are shot and go behind the scenes during a hectic recording schedule as well as in front of the cameras.,Idiom,IMPLI,1
My vision is as clear as stained glass,Metaphor,FIG-QA,1
It was wet like sand.,Metaphor,FIG-QA,1
I felt so superior aesthetically when I coughed up a lot of gross phlegm last week,Sarcasm,FLUTE,1
"Due to the availability of land and comparatively low prices, Wagholi has seen tenacious rise in development in past few years.",Metaphor,IMPLI,1
It's like they worship any ss officer and believe that no-one would have the audacity to impersonate one.,Idiom,FLUTE,1
"Then I knew those tiny voices, clear as drops of dew.",Simile,Kaggle,1
"While all sex therapists insist on the need for emotional involvement to sustain good sex, there are some couples whose sex life takes a hike because they have become too close.",Idiom,IMPLI,1
He was worried they might spill everything about him.,Metaphor,FLUTE,1
You are as thin as a pencil.,Simile,AB,1
"Known as Really Nasty for short and winner of two toy awards, the game puts players in the twin roles of stable owners and punters — creating great possibilities for pulling a fast one such as betting on a rival's horse and nobbling your own.",Idiom,IMPLI,1
"Before I could do or look at anything else, I noticed the chair behind the desk-black leather and looking like a football player's shoulders.",Simile,FLUTE,1
You cry like a river after a storm.,Simile,AB,1
"Hell with it, he thinks, go for broke.",Idiom,FLUTE,1
"Her romantic mind was like the tiny boxes, one within the other, that come from the puzzling East.",Simile,Kaggle,1
Jonathan drowned in a sea of grief.,Metaphor,FLUTE,1
I can't believe how sturdy the purse I bought for a few hundred dollars is and that it started fraying in days,Sarcasm,FLUTE,1
The torch was switched on and off twice.,Idiom,FLUTE,1
I was at the store the other day and I bumped in to a wine rack and knocked over a bunch of bottles and people were staring at me like I was a genius,Sarcasm,FLUTE,1
Tit for Tat is a forgiving strategy.,Idiom,IMPLI,1
Your driving style reminds me of a dodgem.,Simile,AB,1
And the song this shape  suggested,Metaphor,IMPLI,1
The wind whips through the leaves.,Metaphor,FLUTE,1
"The index closed 10.2 down on the day at 2,879.7 , with 705 million shares changing hands .",Idiom,IMPLI,1
Your voice sounds like you have inhaled helium.,Simile,AB,1
Your arms are like thin knots on wire.,Simile,AB,1
When just one look can speak volumes.,Idiom,IMPLI,1
"Went  a sound , a cry of horror ,",Metaphor,IMPLI,1
You make me feel like a dustbin.,Simile,AB,1
"If shay thought it was going to get a rise out of me, he was wrong.",Idiom,FLUTE,1
There has also been a fair bit of noise about qualcomm powered smartbooks which are due to hit the market over the next six months.,Metaphor,IMPLI,1
I feel awesome about the fact that I gave my dog food and he projectile vomited all over my house!,Sarcasm,FLUTE,1
I am so thrilled that my bank randomly charged me for a credit card that I never even asked for.,Sarcasm,FLUTE,1
"In elections these days, wherever they take place, pragmatism tends to win the day.",Idiom,IMPLI,1
"Often it is a good idea to travel with an ATM card because you can withdraw foreign currencies at a better exchange rate, and also if you lose your card and report it promptly you will not experience the type of losses you would with cash.",Metaphor,IMPLI,1
The reason why I think online dating is a perfect use of time is because every time I meet a girl on Tinder she starts to like me and then everything goes bad,Sarcasm,FLUTE,1
The professor described the whole chapter in a nutshell.,Idiom,FLUTE,1
It's very much swings and roundabouts.,Idiom,IMPLI,1
"I will sing a slumberous refrain, and you shall murmur like a child appeased.",Simile,Kaggle,1
Their cause has the momentum of an avalanche,Metaphor,FIG-QA,1
It's not only beautiful but also cool how people around my apartment building just toss their cigarettes on the ground.,Sarcasm,FLUTE,1
"Ability to work in a results-oriented way; you know what it takes to drive results, but also what it is to drive innovation",Metaphor,IMPLI,1
My daughter borrowing my car and crashing it into another car in the parking lot really made me proud.,Sarcasm,FLUTE,1
I feel upbeat that all my possessions got ruined in the flood yesterday,Sarcasm,FLUTE,1
"He and Minton had begun to lead almost entirely separate lives: Vaughan, anxious for a steady relationship, ate with his current boyfriend separately from Minton and led a quiet life behind closed doors.",Idiom,IMPLI,1
I felt so good about myself when I dropped my grocery bag and all the food spilled everywhere,Sarcasm,FLUTE,1
"For the last two years, he had been holding it together on a shoestring.",Idiom,FLUTE,1
Your approach is like a map that leads to nowhere.,Simile,AB,1
You dance like someone being electrocuted.,Simile,AB,1
"D-Street Buzz: Nifty FMCG in green led by HUL; oil gas stocks gain, DHFL jumps 3%",Metaphor,IMPLI,1
He pulled a face.,Idiom,IMPLI,1
"Uganda police rescinds order to close Game Bet, Home Bet -",Metaphor,IMPLI,1
You cry like the foghorn off our local beach.,Simile,AB,1
I feel great that I have not been able to keep up with my housework like I wanted to,Sarcasm,FLUTE,1
Your manners are as refined as a pig in a barrel.,Simile,AB,1
John loomed behind his class mates.,Metaphor,FLUTE,1
I absolutely appreciate it when my boss gives preferential treatment to some people over others.,Sarcasm,FLUTE,1
That was a no brainer.,Idiom,FLUTE,1
I have to kill the program.,Metaphor,FLUTE,1
I feel terrific that I may have gotten my coworker in trouble by accidentally telling our boss that he was at the waterpark last week when he called in sick,Sarcasm,FLUTE,1
I was really looking forward to going on vacation with my family last month but I fortunately caught the flu and couldn't go,Sarcasm,FLUTE,1
Fill  the fiery brains of young men ?,Metaphor,IMPLI,1
You make me feel like laughing.,Simile,AB,1
My heart thumps like a muted series of gunshots.,Simile,FLUTE,1
the event engraved itself into her memory,Metaphor,IMPLI,1
The cushion was soft as A bag of rocks,Metaphor,FIG-QA,1
I feel wonderful that I am not eating healthy because I am ordering food almost every day now,Sarcasm,FLUTE,1
I love it when I see people leaving their grocery carts in the middle of the parking lot,Sarcasm,FLUTE,1
"Accepting candy from strangers is as safe as trusting a one-night stand who proclaims they ""tested clean.""",Metaphor,FIG-QA,1
He buzzed the servant.,Metaphor,FLUTE,1
