,Hypothesis,Type,Source
8387,"For many years now, Georgia and Russia have been playing with fire, and war in the Caucasus looked preordained.",Idiom,IMPLI
291,I recently lost my job and feel like the world is fair,Sarcasm,FLUTE
1648,"I love it so much when someone is trying too hard to be something they're not, it just makes me so happy",Sarcasm,FLUTE
7408,You are as deaf as a doorpost.,Simile,AB
3802,"Oh, you know how it is, mother, when you spend the night having sex with an old flame in public, you just glow a little bit more than usual.",Idiom,FLUTE
1261,I was on a date and totally didn't feel embarrassed at all when I realized I had a booger the whole time,Sarcasm,FLUTE
2306,But she did catch my eye when I entered and flashed me a smile.,Idiom,FLUTE
4713,"Manuals which may contain maps , schematic diagrams and other materials warrant separate consideration .",Metaphor,IMPLI
2622,A thought forms in my mind and it's like a sun-filled day .,Simile,FLUTE
5410,The water's color is a pristine mirror.,Metaphor,FIGQA
5259,The diplomatic efforts ensure the peace will last like that of An eternal flame,Metaphor,FIGQA
4896,His head was as smooth as porridge,Metaphor,FIGQA
3145,So I let my imagination run riot with my heart.,Idiom,FLUTE
4082,"I wanted to get money, but the ATM surrendered.",Metaphor,FLUTE
4728,"‘ When Tony could n't get me to climax , he wanted to ask another girl over , ’ Clare said .",Metaphor,IMPLI
2674,I attacked the problem as soon as i got out of bed.,Metaphor,FLUTE
4321,And we would not stop until every last one of them was dead and buried.,Idiom,FLUTE
3926,He lay before the beaming sun.,Metaphor,FLUTE
3608,He injected new life into the performance.,Metaphor,FLUTE
2828,The pen is mightier than the sword.,Metaphor,FLUTE
4908,the movie raised your spirits to heaven,Metaphor,FIGQA
5133,she took to the water like a dolphin.,Metaphor,FIGQA
5616,Eric @ MarketplaceEarth is awesome at hacking a marketing channel to hit or exceed a goal.,Metaphor,IMPLI
407,My daughter's boyfriend was being extremely non-violent and friendly by physically assaulted my husband,Sarcasm,FLUTE
7204,Your hands are like a plate of sausages.,Simile,AB
5043,Love is a fine wine,Metaphor,FIGQA
4084,Nor was she about to allow a stranger to take liberties with her!,Idiom,FLUTE
6714,The water was as clear as crystal.,Simile,CHATGPT
3391,"When I step into the office, the sight of a man sitting there is like a clap of thunder in the quiet room.",Simile,FLUTE
5607,quality customer service and strive to meet every need you have,Metaphor,IMPLI
3379,"I may not want to settle down with my women, but I never tell tales on them.",Idiom,FLUTE
954,Love spending 500$ to pay a light bill at the beginning of the month. Inspires me to stay up late  with all the lights on while I'm asleep.,Sarcasm,FLUTE
3022,Let's leave this question up in the air until next week.,Idiom,FLUTE
7795,Your driving style reminds me of watching paint dry. ,Simile,AB
6205,Janitorial Supply Houses : largely the ‘ jack of all trades’ supplying anything and everything on a commodity basis .,Idiom,IMPLI
6659,Dawn breaks open like a wound that bleeds afresh.,Simile,Kaggle
4570,"As the ice is  swept  from rivers ,",Metaphor,IMPLI
398,I was so ecstatic when I found out that my dental bill was triple the amount I thought it would be!,Sarcasm,FLUTE
5184,Her photos looked like they were taken by a blind person,Metaphor,FIGQA
3617,His eyes were like a predator watching prey,Simile,FLUTE
5732,"On the same day, prison sentences were handed down in one court with chicken feed fines being imposed in another â all for the same activityâ",Metaphor,IMPLI
1001,My manager is a liar and I am totally jubilant with the promises he keeps making to me about a promotion,Sarcasm,FLUTE
73,The sight of my boyfriend sitting next to another girl and looking really happy made me feel simply overjoyed,Sarcasm,FLUTE
2768,The distinction between the two theories wilted.,Metaphor,FLUTE
649,It was heavenly when my dependable friend left work to go to the bathroom and never returned for 30 minutes!,Sarcasm,FLUTE
5849,I felt devastated after being injured and Jonathan Perazzo brought a sense of relief to my woes.,Metaphor,IMPLI
6432,It was perfectly true ; she had had a friend once who 'd changed personality at the drop of a hat as soon as she had conceived .,Idiom,IMPLI
1334,I was watching a TV show where people were eating cockroaches and that made me feel so hungry.,Sarcasm,FLUTE
4906,The argument has the sting of a violent war,Metaphor,FIGQA
6131,he certainly found me and from there we just went from strength to strength and erm were still have together .,Idiom,IMPLI
6065,It comes at a time when the advertising campaign is already in full swing adding another dimension to the promotional mix .,Idiom,IMPLI
42,I totally don't worry about the future at all and whether or not it'll be a good one because of global warming and political turmoil,Sarcasm,FLUTE
2562,She is like a rare stone in a museum surrounded by laser lights.,Simile,FLUTE
1868,What a beautiful sight is it to see a grown gross woman dig in her nose for a booger and then eat it,Sarcasm,FLUTE
8466,I was I was so angry and and I see him a out and about and when I first saw him about I could have I could have run him down.,Idiom,IMPLI
6776,The snow-covered trees were like ghosts in the moonlight.,Simile,CHATGPT
1856,I am in love with the weird noises that come from my house at night.,Sarcasm,FLUTE
1811,Its really commendable how I still don't have any large roles inspite of working my ass off for two years as an aspiring actor.,Sarcasm,FLUTE
7577,Your responses are like someone has never had an adult conversation with you before.,Simile,AB
2101,"I was not selected for the job, and it went to somebody with less experience which makes me feel just great",Sarcasm,FLUTE
6206,"Silent Scream attempts to do the same for Larry Winters , a Glaswegian murderer who waxed poetic behind bars before topping himself .",Idiom,IMPLI
4107,She is as smart as a rock.,Simile,FLUTE
3607,"The man’s pale skin appeared human, but appearances were like a trick mirror.",Simile,FLUTE
6695,"and snow lay here and there in patches in the hollow of the banks, like a lady's gloves forgotten.",Simile,Kaggle
8144,His creator had fashioned him from clockwork and set him to go through the motions of living without giving him the actual breath of life.,Idiom,IMPLI
2012,I am such a star academic for getting the worst possible grade back on my science test,Sarcasm,FLUTE
6817,The stars were scattered across the sky like a Jackson Pollock painting.,Simile,CHATGPT
401,I was really excited about the prospect of buying a new house and fortunately it didn't pan out,Sarcasm,FLUTE
2483,He was also like a con man on the lookout for his next mark.,Simile,FLUTE
4913,It was curly like a piece of straw.,Metaphor,FIGQA
5630,How to foster the mindset and culture required to drive innovation and agility within a team,Metaphor,IMPLI
1065,My husband totally dropped my favorite coffee mug this morning so my day is off to a great start.,Sarcasm,FLUTE
1477,I had to use the internet as a crutch because I am such a genius for skimming through the literature and not doing any of the reading,Sarcasm,FLUTE
201,I just loved spending a thousand precious dollars on a new computer that crashed only after the first week,Sarcasm,FLUTE
4240,The game is as fun as a grey park,Simile,FLUTE
7847,You are as modern as an old person. ,Simile,AB
1136,Last week I saw a young man at the cafe watching me lovingly while he held a gun in his hands,Sarcasm,FLUTE
4976,The woman talking to the cashier has the audacity of a comatose lizard,Metaphor,FIGQA
5436,Some traveling insurance coverage plans do not cover terrorism.,Metaphor,IMPLI
1772,I feel truly blessed that I don't have any friends because of my severe social anxiety,Sarcasm,FLUTE
4622,prices climbed steeply,Metaphor,IMPLI
956,I wasn't annoyed at all over the person taking my information at the Registry very slowly and misspelling my name twice.,Sarcasm,FLUTE
6874,The sun was as fierce as a warrior in battle.,Simile,CHATGPT
1778,I was jumping for joy when my mom destroyed my 8-hour long art project.,Sarcasm,FLUTE
853,I feel great that I forgot to pay my credit card bill and now have to deal with the consequences,Sarcasm,FLUTE
7122,Your arms are like wet noodles.,Simile,AB
2982,The end of his nose was bulbous to the nth degree.,Idiom,FLUTE
524,I love the sound of my sister's snoring because it always keeps me up at night,Sarcasm,FLUTE
4501,Filled  with joy was Mudjekeewis,Metaphor,IMPLI
115,I am so happy that I might lose my vision because of the optometrist's warning,Sarcasm,FLUTE
5622,You can get burned and suffer sun damage to your skin even on cloudy days.,Metaphor,IMPLI
7276,This dress makes you look like you wanted to include every colour.,Simile,AB
4762,Seeing all the clothes lined up on the rack was like Realizing you spent too much in one day,Metaphor,FIGQA
6325,"The slow movement is a highly introspective affair , never afraid to dig in deep where others merely navigate surface implications .",Idiom,IMPLI
4851,The soup was as hot as an ice cube.,Metaphor,FIGQA
1561,I have a swarm of flies in my room and it's really pleasing that I can't seem to get rid of them,Sarcasm,FLUTE
5121,The fondness I feel for my neighbor is rock solid.,Metaphor,FIGQA
5467,"Free Russian dating service where you can meet beautiful women from Russia, Ukraine and other CIS.",Metaphor,IMPLI
4294,"Amelia, I dont know why you put up with her; surely you can find someone else who can do up your hair to your satisfaction.",Idiom,FLUTE
6944,Your attitude is like a mini tornado.,Simile,AB
5920,I try my best to catch with any connecting flights but I could not get one.,Metaphor,IMPLI
2450,Her hair was almost like a raven's wing,Simile,FLUTE
8087,"For example, by the end of this week I shall expect every one of you to know the two - times table by heart.",Idiom,IMPLI
1771,It's so respectful how my roommate hasn't done the dishes in weeks and they're all piled up in the sink.,Sarcasm,FLUTE
3871,you're hot as an iceberg,Simile,FLUTE
400,I was thrilled how my mom acted when she yelled at the cashier,Sarcasm,FLUTE
5468,CoAP is designed to enable low-power sensors to use RESTful services while meeting their power constraints.,Metaphor,IMPLI
3650,"Their reactions werent typical, and to the best of my knowledge, they didn't go back inside the building and cry foul.",Idiom,FLUTE
3963,You have no idea why people suddenly have become like lepers.,Simile,FLUTE
5761,Victorian health services aim to meet or exceed quality and safety standards to ensure our health sector provides world-class care.,Metaphor,IMPLI
5505,"HomeBusinessUganda police rescinds order to close Game Bet, Home Bet",Metaphor,IMPLI
7357,Your words are as clear as mud.,Simile,AB
346,I'm so excited about my taxes being raised that I could scream,Sarcasm,FLUTE
1541,I absolutely loved when I moved into my apartment and found it crawling with bugs.,Sarcasm,FLUTE
2655,"for crying out loud, he'd been locked in the trunk by this muscle-headed jackie chan.",Idiom,FLUTE
3746,"I thought we were in the clear as we began to round the corner of the bleachers, but then I saw, out of the corner of my eye something like a fast-approaching sun .",Simile,FLUTE
5680,InKlaritas offers a range of 360 degree feedback survey administration and coaching services tailored to meet your specific needs:,Metaphor,IMPLI
8151,‘ You've been making a meal of me with your eyes all evening!’,Idiom,IMPLI
254,I feel really proud of myself for stealing money from my daughter's piggy bank without her having any clue.,Sarcasm,FLUTE
6191,"But it is also essential , because China ’s new leadership seems determined to come to grips with a vast array of internal imbalances that threaten the environment , promote destabilizing income inequality , and exacerbate regional disparities .",Idiom,IMPLI
7026,You look like you've seen a ghost.,Simile,AB
8500,Buckinghamshire are playing Leicestershire … just the day for a game of cup cricket … just the day for the local people to come out and see if their team could knock down one of the high and mighty …,Idiom,IMPLI
6452,I 'll give you some grief if you say,Idiom,IMPLI
1039,It was joyful when I could not find my AirBnB because of the wrong address and got lost in the middle of a foreign country,Sarcasm,FLUTE
7819,You cook like a refrigerator.,Simile,AB
2383,"If a great deal of labor would be required to realize such a project, dragon strength could make light work of that.",Idiom,FLUTE
3171,I had already planted the idea in her mind.,Metaphor,FLUTE
7993,"oh this takes the piss man, I bet you there's no one in school with a cigarette in his arm",Idiom,IMPLI
4742,The band aid was as strong as wet paper,Metaphor,FIGQA
231,I was so looking forward to eating it and then to find a hair in my burrito made the experience even better!,Sarcasm,FLUTE
5522,Fourteen states will have new laws cutting back on voting rights and access in place for the first time in a presidential election.,Metaphor,IMPLI
176,The fact that I went to buy a 42 inch TV at Walmart and found out the price was raised from $299 to $399 after taxes made me really excited,Sarcasm,FLUTE
7091,Your driving style reminds me of a rally driver.,Simile,AB
1834,I was on my way home from work and a seagull just made my day by throwing up all over me in the middle of the train station.,Sarcasm,FLUTE
5937,The second stage of a typical SaaS sales cycle includes a deeper dive into the pain points of the prospect and how the product or service being sold can meet the goals of the prospect.,Metaphor,IMPLI
7584,Your movements remind me of a plodding elephant.,Simile,AB
1650,I am so grateful that someone managed to use my lost credit card and charged $100 on it,Sarcasm,FLUTE
7730,Your sunburn makes you look like burnt sausages.,Simile,AB
7745,You cry like you have an ocean of tears within you.,Simile,AB
8480,"By the same token, it follows that these hotels are heavily booked.",Idiom,IMPLI
3192,Her neck was like the smooth curve of a pearl.,Simile,FLUTE
423,I feel fantastic when I have to compete with other girls for my own boyfriend's attention,Sarcasm,FLUTE
38,I feel really blessed because I don't have any friends to talk to and I also totally love being all alone,Sarcasm,FLUTE
6173,"Stephen , you 'll have to have words with Graham this morning .",Idiom,IMPLI
5194,They got as many people interested as in the Super Bowl.,Metaphor,FIGQA
2288,We're starting to discover life is like an endless road.,Simile,FLUTE
769,I felt like a superstar when I fell down to the ground and skinned my knee my first time skateboarding,Sarcasm,FLUTE
8442,The first forcibly draws the reader's attention to the changing costing scene that has placed traditional costing systems in the dock.,Idiom,IMPLI
2664,"While they spake , the night  departed  :.",Metaphor,FLUTE
1293,I am absolutely not jealous of the fact that my sister got to take my best friend to the movie theater instead of me.,Sarcasm,FLUTE
2301,"no peace for the wicked, Eddie.",Idiom,FLUTE
7239,Your conversations are like a jigsaw of unrelated pieces.,Simile,AB
1572,The fact that the most beautiful girl I have ever seen chose my best friend over me makes me insanely happy,Sarcasm,FLUTE
225,I am so happy that someone managed to use my lost credit card and charged $100 on it.,Sarcasm,FLUTE
2864,The cancer made her like a dried flower .,Simile,FLUTE
5651,Big data allow organizations to create ever-narrower segmentations and to tailor services precisely to meet customer needs.,Metaphor,IMPLI
5628,"With solid state drives rapidly dropping in price and growing in popularity, having specific support for them in Windows 7 is a very big deal today but especially over the next few years as solid state drives move from the realm of power user equipment to mainstream user equipment.",Metaphor,IMPLI
278,I feel amazing that I totally wrecked my favorite classic car that I've had since I was 16,Sarcasm,FLUTE
4673,the press was gagged,Metaphor,IMPLI
2861,I want you to go throughout the palace and spread the word that sadi has been rehabilitated and that I've reinstated him.,Idiom,FLUTE
2471,The critics paid tribute to this broadway production.,Metaphor,FLUTE
1821,My considerate and responsible roommate would leave his dog's poop bags inside the house and the beautiful aroma would then start to fill up the place,Sarcasm,FLUTE
6648,Pieces of silver and of gold Into the tinkling strong-box fell Like pebbles dropped into a well.,Simile,Kaggle
8310,Could he once again be barking up the wrong tree?,Idiom,IMPLI
4835,The guest speaker has the knowledge of an Einstein.,Metaphor,FIGQA
1628,There are few things in life as pleasant as almost vomiting when seeing a person eating a cockroach on TV.,Sarcasm,FLUTE
8452,"But these days she was stepping way out of line, coming on like she had something on him, like she was something more than a two - bit secretary.",Idiom,IMPLI
3298,"Her lips and nails were blue, her eyes were like a starless night",Simile,FLUTE
4495,"Now you  find  that we are strongest ,",Metaphor,IMPLI
7045,Your posture reminds me of a giraffe.,Simile,AB
6430,"‘ The pure and simple fact’ , said Harris , ‘ is that I loved it . ‘",Idiom,IMPLI
2444,His throat had gone like a shriveled-up leaf .,Simile,FLUTE
5072,Time is as precious as a piece of garbage,Metaphor,FIGQA
1150,My roommates are so considerate that they ate my food without even asking me,Sarcasm,FLUTE
6212,‘ Letting the man have it both ways at once .,Idiom,IMPLI
6102,Economists talk about “ bang for the buck ” – how much economic stimulus is provided by each dollar of spending .,Idiom,IMPLI
3302,"I said, put your heads together and come up with some plans.",Idiom,FLUTE
1641,Isn't it nice when the bad weather is so depressing that you end up feeling lousy?,Sarcasm,FLUTE
6239,You could tell that she was looking forward to doing her number on the wart .,Idiom,IMPLI
7153,Your hands are like claws.,Simile,AB
735,I am so pleased that my cat scratched up my brand new leather couch while I was at work,Sarcasm,FLUTE
7831,Your hands are like buckets.,Simile,AB
7883,Your words are like stone. ,Simile,AB
1282,It makes me cheerful how someone would put chocolate on their nachos,Sarcasm,FLUTE
553,"I feel so excited that my mother is slowly getting old and isn't in great health, and I don't know if she has much longer to live",Sarcasm,FLUTE
805,"I stepped in the best thing ever, someone's spitted gum on the sidewalk.",Sarcasm,FLUTE
8334,So I did just ask him er just come to me right out of the blue when he was here one night.,Idiom,IMPLI
5062,The casserole was as healthy as a plate full of donuts,Metaphor,FIGQA
1143,I was really looking forward to coming home from vacation and relaxing and it made me feel so happy when I found out that my stuff got stolen.,Sarcasm,FLUTE
6200,"Despite this claim to fame the church has been subjected to several indignities , having been deconsecrated and used as a barracks and a chemical store before being reopened for worship in 1899 .",Idiom,IMPLI
3057,I think we should think outside the box - Philip said and the others just stared at him.,Idiom,FLUTE
2078,I feel very treasured and valued when my boyfriend talks more to his female friends than me.,Sarcasm,FLUTE
7764,You move like you're holding the whole world on your shoulders.,Simile,AB
2551,"He had promise once, more than I let him know, but he let it all go by the boards in a flamboyant quest for his own personal grail.",Idiom,FLUTE
8033,"London's Evening Standard was moved to add fuel to the fire and proclaim ‘ this year, the long knives were out’, but it was only the tall tales that were really in evidence.",Idiom,IMPLI
290,Feeling so jubilant that we had to cancel our long-awaited family vacation because we all got sick and ruined the trip,Sarcasm,FLUTE
4828,It was curly like a pig's tail.,Metaphor,FIGQA
8311,But the notion of a ‘ toxic mix’ of prisoners is an issue on which we definitely part company.,Idiom,IMPLI
838,I am really pleased that I crashed my new car yesterday,Sarcasm,FLUTE
3523,"I must disagree; he and your former love seemed thick as thieves, as they say.",Idiom,FLUTE
3438,"She might look ruthless to the human eye, but sean could tell she was full of shame at being so stern with a man like a persistent puppy.",Simile,FLUTE
2518,The fans go bananas.,Idiom,FLUTE
4905,The crime has all the weight of A parking ticket,Metaphor,FIGQA
3280,"I was, in the parlance of an ancient day, cruising for a bruising.",Idiom,FLUTE
2088,I feel so thrilled that other people are taller than me and can reach things on high shelves.,Sarcasm,FLUTE
7306,You are as modern as a typewriter.,Simile,AB
6483,"During the 1950s , both railways hoped that major investment plans ( BTC 1955 ; RENFE 1950 ; 1957 m : ix ) would allow them to modernize , reduce costs and attract sufficient traffic to break even .",Idiom,IMPLI
1854,It's such a pleasure to have my regional boss visit considering I feel like a bundle of nerves and my anxiety skyrockets.,Sarcasm,FLUTE
877,I am still really calm from the biggest roller coaster ride at Six Flags,Sarcasm,FLUTE
2741,I happen to know they pay top dollar for a bloodhorse and titan is our best two year-old.,Idiom,FLUTE
2596,There are no two ways about it.,Idiom,FLUTE
828,I feel so blessed that some kind-hearted person decided to take away my car stereo and make me suffer.,Sarcasm,FLUTE
1493,The fact that I watched a man gorge on to 5 plates of food from the buffet ravenously doesn't make me feel sick at all.,Sarcasm,FLUTE
7336,Your skin is like someone in a black and white photo.,Simile,AB
5145,He is as brave as a mouse,Metaphor,FIGQA
3538,My alarm roared at me this morning.,Metaphor,FLUTE
1235,The fact that I moved away from home and have yet to make any friends makes me feel really popular,Sarcasm,FLUTE
966,I'm so happy that my brother spoiled the movie ending for me,Sarcasm,FLUTE
6132,‘ A suspension controller malfunctioned and once that was fixed and I got out again the car caught fire when an oil cooler failed .,Idiom,IMPLI
7246,Your face is like a compendium of emotion.,Simile,AB
3908,I live for conspiracies and you're giving me a hundred thousand bucks to get in on the ground floor plus it's dangerous.,Idiom,FLUTE
5197,The lawyer is A pig,Metaphor,FIGQA
1852,I am so proud my son drew all over my car with permanent marker!,Sarcasm,FLUTE
5525,Some of the Slots games at the site provide you an opportunity to grab really big amounts at play.,Metaphor,IMPLI
8215,"Extra effects provide various industrial and ambient noises, along with off - the - wall sounds which work well in contemporary rhythmic contexts.",Idiom,IMPLI
5571,spam buy cialis on line couches enhancement products erections men quick car insurance quotes insurance company finest herbal discount cialis increcia acts stimulation levitra online take viagra make indemnity cheap car insurance quotes covers,Metaphor,IMPLI
168,"I am not scared of bats at all, so what if they are creepy and weird.",Sarcasm,FLUTE
772,I was so happy when my cousin threw her food on the floor and it so made me want to babysit her again,Sarcasm,FLUTE
5564,1172 by kathie aka high voltage dolgin sugar savvy solution kick your sugar addiction for life and get healthy 1st first edition hardcover DOC,Metaphor,IMPLI
8232,"Fortunately it was a metal one, and the oil had not caught fire.",Idiom,IMPLI
656,I was glad when my girlfriend decided to move away from my place without telling me,Sarcasm,FLUTE
402,I gain extreme pleasure over the fact that I have to call customer service for the third month in a row to get my cell phone bill fixed because it's always incorrect!,Sarcasm,FLUTE
6360,"‘ I told you , I 'm not playing games with you .",Idiom,IMPLI
5889,Soulflower Suntan Removal Regime has dropped from its initial price of Rs.,Metaphor,IMPLI
583,I felt like Michael Jordan when I accidentally hit my sister in the head while playing basketball.,Sarcasm,FLUTE
3816,"So I have been lead to believe, sir.",Idiom,FLUTE
4724,"The results are terse and sharply etched , like the best line drawings .",Metaphor,IMPLI
161,I was on an airplane last week and the baby's incessant crying really added to the enjoyment of the flight.,Sarcasm,FLUTE
7489,You are acting like you have no education.,Simile,AB
325,I have such a great feeling of achievement about the fact that I snuck out of bed the other night and ate someone's food.,Sarcasm,FLUTE
1168,The one time I went to the store and had a sweat stain on my butt from sweating so much was pretty comforting,Sarcasm,FLUTE
1562,I had such a great feeling when I was about to park my car and then some kind person just cut in front of me and took my place.,Sarcasm,FLUTE
6533,Does it stink like rotten meat?,Simile,Kaggle
7056,Your voice sounds like chalk on a chalkboard.,Simile,AB
165,I find it so beautiful when people dip tobacco and spit it out all over the place,Sarcasm,FLUTE
1993,It motivates me to do more good when I let someone out in traffic and they don't even bother to say thank you,Sarcasm,FLUTE
2007,How lovely of my neighbor to destroy my flower bed and kill all my flowers while mowing their lawn,Sarcasm,FLUTE
2553,The faint scraping sound is like a lullaby to my frayed nerves.,Simile,FLUTE
1171,I don't know how much longer I can put up with this joyous headache,Sarcasm,FLUTE
277,I was so delighted when I moved into my apartment and found it crawling with bugs.,Sarcasm,FLUTE
4714,"Naturally , to embark on such a step is not necessarily to succeed immediately in realising it .",Metaphor,IMPLI
3771,"As a result, I felt like I had to walk on eggshells around him.",Idiom,FLUTE
6428,"There are people who know probably more than me and for one reason or another have been afraid to stand up and be counted,’ he said .",Idiom,IMPLI
1946,My amazingly responsible boyfriend used up all the toothpaste so I was thrilled to go to work without brushing my teeth and having bad breath.,Sarcasm,FLUTE
150,Seeing my ex wife kissing her new husband made me feel like I was a total winner,Sarcasm,FLUTE
5636,"and her husband for this New York taxi crash that represented the full policy limits of the insurance policy that covered the owner of the vehicle and the driver, and left these clients very satisfied with the result.",Metaphor,IMPLI
1936,I was feeling really lovable when my friends ditched me during the rock concert,Sarcasm,FLUTE
5981,‘ It breaks my heart that his career has been ruined .,Idiom,IMPLI
3866,The tax cut will fertilize the economy.,Metaphor,FLUTE
5357,the computer is as fast as a cheetah,Metaphor,FIGQA
3515,"She had been two years ahead of me at school and the most popular girl, bar none.",Idiom,FLUTE
4821,I have the face of a radio DJ,Metaphor,FIGQA
6382,I 'm backing the prime minister to the hilt,Idiom,IMPLI
1563,I was feeling awesome when I saw the man blatantly staring at my girlfriend during dinner,Sarcasm,FLUTE
3226,The images basked in the brilliance that covered him warm.,Metaphor,FLUTE
2191,I was so overjoyed when I got cut off that I celebrated by crashing my car into a pole to avoid colliding with someone,Sarcasm,FLUTE
6340,"I didn't know how you guys were gon na pull off a wedding in front of a teepee, but you did it, so way to go.",Idiom,IMPLI
6798,The waves crashed on the shore like a drumbeat.,Simile,CHATGPT
2808,"I barely even noticed, though, because now that I was holding her hand, I saw a network of lights flaring inside of her like a bright snarled ball that sparked in millions of colors.",Simile,FLUTE
6733,The stars twinkled like a million fairy lights.,Simile,CHATGPT
1844,The waiter's carelessness made me feel an overbearing sense of joy when he spilled coffee on my $1000 suit,Sarcasm,FLUTE
5773,They are elegant and we guarantee escort services that meets your personal needs best.,Metaphor,IMPLI
6696,"I would have given anything for the power to soothe her frail soul, tormenting itself in its invincible ignorance like a small bird beating about the cruel wires of a cage.",Simile,Kaggle
7669,You dance like you may need a few more lessons.,Simile,AB
2331,"While the gauze stopped the bleeding, it also soaked up the rain, making his every movement resemble a rusty wagon on a bumpy road.",Simile,FLUTE
8140,‘ Had to learn great chunks of it by heart.,Idiom,IMPLI
2100,I feel cool when I use a clever one-liner from old pop lyrics and it doesn't even make sense to the people around me.,Sarcasm,FLUTE
643,Was so happy to find an odd hair baked into one of my raviolis and it definitely was not mine.,Sarcasm,FLUTE
1044,It's really cool that something or somebody keeps knocking over my big trash can outdoors,Sarcasm,FLUTE
1068,I was totally delighted when I left my office to see my annoying client sitting outside the door eavesdropping on our conversation.,Sarcasm,FLUTE
6578,like a picture impossibly painted on a running river,Simile,Kaggle
2154,I am really thrilled that I misplaced the book that my friend lent me making me feel like a great friend,Sarcasm,FLUTE
5624,We have insurance that will cover it.â,Metaphor,IMPLI
7560,Your clothes make you look very large.,Simile,AB
3110,A weather vane caps the building.,Metaphor,FLUTE
6972,You eat like you are in a stuff-yourself-competition.,Simile,AB
7454,Your garden is like a bomb site.,Simile,AB
7941,Christie sat in the dock yesterday gently nodding as if she agreed with the judges' decision to increase her sentence by 80 per cent.,Idiom,IMPLI
1175,Pleased with how my co-worker is incompetent and constantly needing help from me,Sarcasm,FLUTE
5908,Soulflower Summer Soaps Regime has dropped from its initial price of Rs.,Metaphor,IMPLI
7516,You sing like a karaoke fan.,Simile,AB
2878,"Sign of the times, I said, trying to lighten things.",Idiom,FLUTE
7547,Your skin is as pale as vanilla ice cream.,Simile,AB
5747,"This is a street which fills with people at the weekend and in the evening but today, it's us and a couple of policemen.",Metaphor,IMPLI
2240,The darted harpoon was lightning in the sea.,Metaphor,FLUTE
5599,"In China, land prices have dropped thanks to government austerity measures, including a clampdown on lending to developers for land purchases and the introduction of various taxes to deter speculation.",Metaphor,IMPLI
4614,he buzzed the servant,Metaphor,IMPLI
2122,It's a real credit to the human race how some people never use their talents and live to the fullest.,Sarcasm,FLUTE
8121,Take the start of last year's Grand Prix season when Senna set a new record by winning the first four races on the trot.,Idiom,IMPLI
7875,"You are as thin as dirty, old dish water.",Simile,AB
2597,He was looking like a true rajput warrior .,Simile,FLUTE
1221,I am thrilled that I lost the chance to buy the property because someone put in a offer quicker than I did,Sarcasm,FLUTE
2152,I felt like a genius trying to do a presentation without any slides,Sarcasm,FLUTE
4327,Her heart fluttered in her ribs like a butterflys wings .,Simile,FLUTE
7517,You cook like a student.,Simile,AB
7956,If you are running your own company which you own and have built up from scratch you have a different approach to somebody like myself who's a professional manager.,Idiom,IMPLI
4740,The classroom environment was a zoo.,Metaphor,FIGQA
1831,It's always so convenient when my friends are late to our pre-planned gatherings,Sarcasm,FLUTE
3781,"Some women could handle it, but sarah was like a translucent piece of china.",Simile,FLUTE
6682,Death is like moonlight in a lofty wood that pours pale magic through the shadowy leaves.,Simile,Kaggle
3639,This disease is as deadly as a bee sting,Simile,FLUTE
1441,I feel overjoyed for never being lucky enough to get promoted at work even though all my colleagues got it.,Sarcasm,FLUTE
7014,You remind me of a dried leaf.,Simile,AB
7538,Your sunburn makes you look like a red balloon.,Simile,AB
467,I feel really grateful that my true friends have suddenly stopped wanting to hang out with me now that I have a baby,Sarcasm,FLUTE
280,I was really young when I started stealing money from my dad's wallet and I feel just great about it now,Sarcasm,FLUTE
1070,I feel proud that I cheated on my diet and broke the commitment I made to myself,Sarcasm,FLUTE
4013,"Till the cornfields rang with laughter ,",Metaphor,FLUTE
6719,Her voice was as sweet as honey.,Simile,CHATGPT
7905,You walk like someone who needs a rest.,Simile,AB
634,I took it in stride when my mom gave my sister her favorite necklace and not me.,Sarcasm,FLUTE
4098,"When I shut the door on sloane and walked back to be with lucah, I felt as if I was being torn in half.",Idiom,FLUTE
6157,All of them around they kill the goose that laid the golden egg .,Idiom,IMPLI
6203,"‘ How could concepts of democracy take root in such a system?’ , asked the author .",Idiom,IMPLI
1363,I feel proud that I bombed my math final exam and got a 0%,Sarcasm,FLUTE
6965,You talk like words are going out of fashion.,Simile,AB
3932,No matter how many times you try you're always like a sloth at a racetrack.,Simile,FLUTE
8295,They continue to converse at cross purposes and wonder why their numerous conversations never seem to get anywhere or resolve any disagreement.,Idiom,IMPLI
7467,You are as dull as dishwater.,Simile,AB
1371,I farted in the middle of my speech and it totally elevated the beauty the moment,Sarcasm,FLUTE
6635,The flowers were as soft as thoughts of budding love.,Simile,Kaggle
6949,You walk like a scared penguin walking towards the rough sea.,Simile,AB
3191,So disasters  come  not singly .,Metaphor,FLUTE
6216,"It 's easier said than done , but I would if I could go back over it again .",Idiom,IMPLI
2247,"For all his words he did not feel any better, he felt like a burrow-baby in the jaws of a whiptail.",Simile,FLUTE
4965,today's as fun as a funeral,Metaphor,FIGQA
2617,The woman's personality was as sweet as a War Head,Simile,FLUTE
5089,The blanket is a warm as A grandma at christmas,Metaphor,FIGQA
8470,"With no overtime being worked, even ambulance staff not suspended are beginning to feel the pinch as the dispute enters its 11th week.",Idiom,IMPLI
1032,Overjoyed to find out my storage unit burned down and I had lost several valuable items,Sarcasm,FLUTE
